"","prev_team_id","School","Year","team_id","Head_Coach","people_id","Division","Conference","Wins","Losses","Ties","WL_pct","Notes","Seasons_At_School","Coach_Stats_URL","Current_Team","Seasons_Coaching","Seasons_At_Team","Wins_At_Team","Losses_At_Team","Ties_At_Team","Total_Wins","Total_Losses","Total_Ties","fiveWins_At_Team","fiveLosses_At_Team","fiveTies_At_Team","fiveTotal_Wins","fiveTotal_Losses","fiveTotal_Ties","Coach_Win_Pct_At_Team","Coach_Career_Win_Pct","Coach_Win_Pct_At_Team_5yr","Team_Win_Pct_5yr"
"1","2","NCAA Statistics",2026,614845,"Rick McCarty",2110406,"D-I","WAC",0,0,0,0,"",8,"https://stats.ncaa.org/people/2110406","2",8,8,201,156,0,201,156,0,168,122,0,168,122,0,56.3,56.3,57.9,57.9
"2","3","NCAA Statistics",2026,614999,"Mike Gaffney",43796,"D-II","NE10",0,0,0,0,"",1,"https://stats.ncaa.org/people/43796","3",1,1,0,0,0,0,0,0,114,104,2,114,104,2,NA,NA,51.8,51.8
"3","4","NCAA Statistics",2026,615139,"Craig Rainey",4959,"D-III","Michigan Intercol. Ath. Assn.",0,0,0,0,"",33,"https://stats.ncaa.org/people/4959","4",33,33,843,510,0,843,510,0,148,83,0,148,83,0,62.3,62.3,64.1,64.1
"4","5","NCAA Statistics",2026,614787,"Bryan Faulds",2660028,"D-I","MAC",0,0,0,0,"",5,"https://stats.ncaa.org/people/2660028","5",5,3,35,73,0,107,116,0,86,184,0,86,184,0,32.4,48,31.9,31.9
"5","6","NCAA Statistics",2026,614846,"Louis Whitlow",3074634,"D-I","SWAC",0,0,0,0,"",2,"https://stats.ncaa.org/people/3074634","6",2,2,10,40,0,10,40,0,60,167,0,60,167,0,20,20,26.4,26.4
"6","7","NCAA Statistics",2026,614847,"Jose Vazquez",45672,"D-I","SWAC",0,0,0,0,"",10,"https://stats.ncaa.org/people/45672","7",10,10,261,195,0,261,195,0,158,118,0,158,118,0,57.2,57.2,57.2,57.2
"7","8","NCAA Statistics",2026,614848,"Rob Vaughn",1956464,"D-I","SEC",0,0,0,0,"",9,"https://stats.ncaa.org/people/1956464","8",9,3,74,42,0,257,159,0,180,116,0,180,116,0,63.8,61.8,60.8,60.8
"8","9","NCAA Statistics",2026,614849,"Casey Dunn",22921,"D-I","American",0,0,0,0,"",22,"https://stats.ncaa.org/people/22921","9",22,5,98,120,0,548,542,0,116,156,0,116,156,0,45,50.3,42.6,42.6
"9","10","NCAA Statistics",2026,615000,"Hunter Royer",38204,"D-II","Gulf South",0,0,0,0,"",17,"https://stats.ncaa.org/people/38204","10",17,17,445,313,2,445,313,2,124,115,0,124,115,0,58.6,58.6,51.9,51.9
"10","13","NCAA Statistics",2026,615001,"Brandon Hemmings",46148,"D-II","SIAC",0,0,0,0,"",10,"https://stats.ncaa.org/people/46148","13",10,10,237,145,0,237,145,0,150,67,0,150,67,0,62,62,69.1,69.1
"11","14","NCAA Statistics",2026,614850,"Jon Mueller",6233,"D-I","America East",0,0,0,0,"",27,"https://stats.ncaa.org/people/6233","14",27,27,522,730,8,522,730,8,90,150,2,90,150,2,41.4,41.4,37.2,37.2
"12","15","NCAA Statistics",2026,615140,"Matt Rix",30907,"D-III","Michigan Intercol. Ath. Assn.",0,0,0,0,"",8,"https://stats.ncaa.org/people/30907","15",8,2,17,19,0,96,163,0,73,119,0,73,119,0,47.2,37.1,38,38
"13","16","NCAA Statistics",2026,615141,"Jeff Feiler",10565,"D-III","MAC Commonwealth",0,0,0,0,"",28,"https://stats.ncaa.org/people/10565","16",28,28,310,593,3,310,593,3,44,127,0,44,127,0,34.2,34.2,25.7,25.7
"14","17","NCAA Statistics",2026,614851,"Carlton Hardy",4755,"D-I","SWAC",0,0,0,0,"",27,"https://stats.ncaa.org/people/4755","17",27,2,6,43,0,473,627,1,29,185,0,29,185,0,12.2,43,13.6,13.6
"15","18","NCAA Statistics",2026,615289,"Brian Kehew",2111110,"D-III","Empire 8",0,0,0,0,"",3,"https://stats.ncaa.org/people/2111110","18",3,3,5,64,0,5,64,0,5,64,0,5,64,0,7.2,7.2,7.2,7.2
"16","19","NCAA Statistics",2026,615142,"Brandon Crum",1971825,"D-III","PAC",0,0,0,0,"",9,"https://stats.ncaa.org/people/1971825","19",9,9,151,116,0,151,116,0,107,76,0,107,76,0,56.6,56.6,58.5,58.5
"17","20","NCAA Statistics",2026,615143,"Bryan Torresani",41603,"D-III","MAC Freedom",0,0,0,0,"",12,"https://stats.ncaa.org/people/41603","20",12,1,0,0,0,265,156,0,104,89,0,104,89,0,NA,62.9,53.9,53.9
"18","21","NCAA Statistics",2026,615144,"Jason Crain",2109967,"D-III","Michigan Intercol. Ath. Assn.",0,0,0,0,"",8,"https://stats.ncaa.org/people/2109967","21",8,8,121,136,1,121,136,1,94,106,1,94,106,1,46.9,46.9,46.8,46.8
"19","22","NCAA Statistics",2026,615002,"Nick Callini",21518,"D-II","NE10",0,0,0,0,"",23,"https://stats.ncaa.org/people/21518","22",23,23,298,582,1,298,582,1,80,130,0,80,130,0,33.8,33.8,38.1,38.1
"20","24","NCAA Statistics",2026,615145,"J.P. Pyne",24239,"D-III","NESCAC",0,0,0,0,"",13,"https://stats.ncaa.org/people/24239","24",13,8,109,76,3,221,171,3,90,62,2,90,62,2,58,55.9,58.4,58.4
"21","25","NCAA Statistics",2026,615003,"Kevin Brooks",24634,"D-II","Lone Star",0,0,0,0,"",22,"https://stats.ncaa.org/people/24634","25",22,22,836,364,0,836,364,0,243,63,0,243,63,0,69.7,69.7,79.4,79.4
